rna9713	gene2967
rna41107	gene19759
rna64181	gene34114
rna32124	gene12990
rna10678	gene3258
rna10679	gene3258
rna10677	gene3258
rna47341	gene23658
rna47342	gene23658
rna47343	gene23658
rna47107	gene23511
rna37398	gene17337
rna59767	gene31435
rna59768	gene31435
rna59769	gene31435
rna31616	gene12489
rna28443	gene9357
rna46943	gene23401
rna53449	gene27454
rna10835	gene3311
rna10836	gene3311
rna16320	gene5009
rna16322	gene5009
rna16321	gene5009
rna16319	gene5009
rna16318	gene5009
rna16323	gene5009
rna52055	gene26558
rna23562	gene7288
rna23563	gene7288
rna29211	gene10116
rna61468	gene32473
rna61471	gene32473
rna61470	gene32473
rna61469	gene32473
rna24054	gene7464
rna24055	gene7464
rna50105	gene25307
rna50109	gene25307
rna50114	gene25307
rna50115	gene25307
rna50116	gene25307
rna50113	gene25307
rna50112	gene25307
rna50108	gene25307
rna50111	gene25307
rna50106	gene25307
rna50107	gene25307
rna50110	gene25307
rna50117	gene25307
rna50118	gene25307
rna50119	gene25307
rna50120	gene25307
rna50123	gene25307
rna50122	gene25307
rna50121	gene25307
rna50124	gene25307
rna13193	gene4037
rna13192	gene4037
rna17451	gene5382
rna17450	gene5382
rna17452	gene5382
rna5821	gene1780
rna5820	gene1780
rna47694	gene23861
rna6442	gene1963
rna6441	gene1963
rna6440	gene1963
rna6443	gene1963
rna64099	gene34058
rna40855	gene19584
rna18806	gene5811
rna18805	gene5811
rna18807	gene5811
rna18808	gene5811
rna18804	gene5811
rna18803	gene5811
rna28013	gene8937
rna3385	gene1055
rna3386	gene1055
rna3387	gene1055
rna3388	gene1055
rna3384	gene1055
rna28533	gene9447
rna59714	gene31401
rna32935	gene13790
rna60345	gene31811
rna54100	gene27852
rna54101	gene27852
rna3237	gene1012
rna3238	gene1012
rna18912	gene5849
rna18911	gene5849
rna11767	gene3580
rna11768	gene3580
rna11769	gene3580
rna11770	gene3580
rna60032	gene31607
rna34984	gene15773
rna34985	gene15773
rna34986	gene15773
rna32259	gene13125
rna34007	gene14834
rna31024	gene11902
rna33528	gene14369
rna30718	gene11600
rna48349	gene24269
rna55582	gene28730
rna64350	gene34203
rna61797	gene32690
rna40210	gene19169
rna40211	gene19169
rna21267	gene6585
rna21268	gene6585
rna11952	gene3633
rna11951	gene3633
rna11950	gene3633
rna11845	gene3598
rna11843	gene3598
rna11844	gene3598
rna11846	gene3598
rna15443	gene4738
rna15444	gene4738
rna15442	gene4738
rna53911	gene27729
rna53912	gene27729
rna20362	gene6307
rna20363	gene6307
rna37222	gene17208
rna44837	gene22039
rna52780	gene27033
rna46629	gene23197
rna321	gene110
rna322	gene110
rna323	gene110
rna324	gene110
