motif	factor
Homeodomain_Average_385	RAX
Mixed_Average_44	CRX
Mixed_Average_44	OTX2
Mixed_Average_44	PHOX2A
Mixed_Average_44	PHOX2B
Mixed_Average_44	RAX
Mixed_Average_44	GATA1
Mixed_Average_44	GATA2
Mixed_Average_44	GATA3
Mixed_Average_44	GATA4
Mixed_Average_44	GATA5
Mixed_Average_44	GATA6
Mixed_Average_38	ARID3A
Mixed_Average_38	ARID3B
Mixed_Average_38	LHX1
Mixed_Average_38	LHX3
Mixed_Average_38	LHX4
Mixed_Average_38	LHX5
Mixed_Average_38	TLX1
Mixed_Average_38	TLX2
Mixed_Average_38	TLX3
Homeodomain_M0858_1.01	HOXA10
Homeodomain_M0858_1.01	HOXA11
Homeodomain_M0858_1.01	HOXA9
Homeodomain_M0858_1.01	HOXB9
Homeodomain_M0858_1.01	HOXC10
Homeodomain_M0858_1.01	HOXC9
Homeodomain_M0858_1.01	HOXD10
Mixed_Average_36	PAX4
Mixed_Average_36	PAX6
Mixed_Average_36	LBX1
Mixed_Average_36	LHX2
Mixed_Average_36	LHX9
Mixed_Average_36	ALX1
Mixed_Average_36	ALX4
Mixed_Average_36	ARX
Mixed_Average_36	BARX1
Mixed_Average_36	BSX
Mixed_Average_36	DBX1
Mixed_Average_36	DBX2
Mixed_Average_36	DLX1
Mixed_Average_36	DLX2
Mixed_Average_36	DLX3
Mixed_Average_36	DLX4
Mixed_Average_36	DLX5
Mixed_Average_36	DLX6
Mixed_Average_36	DMBX1
Mixed_Average_36	EMX1
Mixed_Average_36	EMX1.2
Mixed_Average_36	EMX2
Mixed_Average_36	EN1
Mixed_Average_36	EN2
Mixed_Average_36	EVX1
Mixed_Average_36	EVX2
Mixed_Average_36	GBX1
Mixed_Average_36	GBX2.1
Mixed_Average_36	GBX2.2
Mixed_Average_36	GSX1
Mixed_Average_36	GSX2
Mixed_Average_36	HESX1
Mixed_Average_36	HOXA1
Mixed_Average_36	HOXA10
Mixed_Average_36	HOXA2
Mixed_Average_36	HOXA3
Mixed_Average_36	HOXA5
Mixed_Average_36	HOXA6
Mixed_Average_36	HOXA7
Mixed_Average_36	HOXA9
Mixed_Average_36	HOXB1
Mixed_Average_36	HOXB2
Mixed_Average_36	HOXB3
Mixed_Average_36	HOXB4
Mixed_Average_36	HOXB5
