Motif	Factor	Evidence	Curated
Ets_Average_109	GABPA	ChIP-seq	Y
Ets_Average_109	SPDEF	ChIP-seq	Y
Nuclear_receptor_Average_20	NR2C1	ChIP-seq	Y
Nuclear_receptor_Average_20	NR2C2	ChIP-seq	Y
Ets_M6024_1.01	EHF	ChIP-seq	Y
Ets_M6024_1.01	ELF3	ChIP-seq	Y
Ets_M6024_1.01	ELF5	ChIP-seq	Y
Ets_M1778_1.01	SPI1	ChIP-seq	Y
Ets_M1778_1.01	SPIB	ChIP-seq	Y
Ets_M6042_1.01	ELK1	ChIP-seq	Y
Ets_M6042_1.01	ELK3	ChIP-seq	Y
Ets_M6042_1.01	ELK4	ChIP-seq	Y
Ets_M6042_1.01	ERG	ChIP-seq	Y
Ets_M6042_1.01	ETS1	ChIP-seq	Y
Ets_M6042_1.01	ETS2	ChIP-seq	Y
Ets_M6042_1.01	ETV1	ChIP-seq	Y
Ets_M6042_1.01	ETV2	ChIP-seq	Y
Ets_M6042_1.01	FEV	ChIP-seq	Y
Ets_M6042_1.01	GABPA	ChIP-seq	Y
Ets_Average_70	SPDEF	ChIP-seq	Y
C2H2_ZF_Average_185	IKZF1	ChIP-seq	Y
C2H2_ZF_Average_185	IKZF4	ChIP-seq	Y
CSL_M6318_1.01	RBPJ	ChIP-seq	Y
C2H2_ZF_Average_181	IKZF1	ChIP-seq	Y
C2H2_ZF_Average_181	IKZF4	ChIP-seq	Y
TEA_Average_5	TEAD1	ChIP-seq	Y
TEA_Average_5	TEAD4	ChIP-seq	Y
TEA_Average_1	TEAD1	ChIP-seq	Y
Rel_Average_30	NFAT5	ChIP-seq	Y
Rel_M6180_1.01	NFATC1	ChIP-seq	Y
Rel_M6180_1.01	NFATC2	ChIP-seq	Y
Rel_M6180_1.01	NFATC3	ChIP-seq	Y
Rel_M6180_1.01	NFATC4	ChIP-seq	Y
Rel_Average_32	NFAT5	ChIP-seq	Y
Rel_Average_32	NFATC1	ChIP-seq	Y
Rel_Average_32	NFATC2	ChIP-seq	Y
Rel_Average_32	NFATC3	ChIP-seq	Y
Rel_Average_32	NFATC4	ChIP-seq	Y
Rel_M5475_1.01	NFATC1	ChIP-seq	Y
Rel_M5475_1.01	NFATC2	ChIP-seq	Y
Rel_M5475_1.01	NFATC3	ChIP-seq	Y
Rel_M5475_1.01	NFATC4	ChIP-seq	Y
bZIP_Average_145	ATF2	ChIP-seq	Y
bZIP_Average_145	ATF7	ChIP-seq	Y
bZIP_Average_145	CREB5	ChIP-seq	Y
bZIP_Average_145	DBP	ChIP-seq	Y
bZIP_Average_145	HLF	ChIP-seq	Y
bZIP_Average_145	NFIL3	ChIP-seq	Y
bZIP_Average_145	TEF	ChIP-seq	Y
